"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 17 18:05:49 CST 2020","Fri Jul 17 18:05:49 CST 2020","165","TestCase","test_storeget","TestStoreget","","","test_storeget_02","
            用例描述01：get查询门店无效的字符（####）
        "
"passed","Fri Jul 17 18:05:49 CST 2020","Fri Jul 17 18:05:49 CST 2020","121","TestCase","test_storeget","TestStoreget","","","test_storeget_01","
            用例描述01：get查询门店(鲜食1号)
        "
